SOL,PARAMETER,Period, Value 
883,Agri_JL,Jan-27, 7068.99 
883,Agri_JL,Feb-27, 7203.50 
883,Agri_JL,Mar-27, 7338.02 
910,Agri_JL,Mar-26, 2746.98 
910,Agri_JL,Apr-26, 2813.65 
910,Agri_JL,May-26, 2880.32 
910,Agri_JL,Jun-26, 2946.98 
910,Agri_JL,Jul-26, 3030.32 
910,Agri_JL,Aug-26, 3113.65 
910,Agri_JL,Sep-26, 3196.98 
910,Agri_JL,Oct-26, 3296.98 
910,Agri_JL,Nov-26, 3396.98 
910,Agri_JL,Dec-26, 3496.98 
910,Agri_JL,Jan-27, 3580.32 
910,Agri_JL,Feb-27, 3663.65 
910,Agri_JL,Mar-27, 3746.98 
911,Agri_JL,Mar-26, 2843.44 
911,Agri_JL,Apr-26, 2910.10 
911,Agri_JL,May-26, 2976.77 
911,Agri_JL,Jun-26, 3043.44 
911,Agri_JL,Jul-26, 3126.77 
911,Agri_JL,Aug-26, 3210.10 
911,Agri_JL,Sep-26, 3293.44 
911,Agri_JL,Oct-26, 3393.44 
911,Agri_JL,Nov-26, 3493.44 
911,Agri_JL,Dec-26, 3593.44 
911,Agri_JL,Jan-27, 3676.77 
911,Agri_JL,Feb-27, 3760.10 
911,Agri_JL,Mar-27, 3843.44 
924,Agri_JL,Mar-26, 2945.63 
924,Agri_JL,Apr-26, 3012.29 
924,Agri_JL,May-26, 3078.96 
924,Agri_JL,Jun-26, 3145.63 
924,Agri_JL,Jul-26, 3228.96 
924,Agri_JL,Aug-26, 3312.29 
924,Agri_JL,Sep-26, 3395.63 
924,Agri_JL,Oct-26, 3495.63 
924,Agri_JL,Nov-26, 3595.63 
924,Agri_JL,Dec-26, 3695.63 
924,Agri_JL,Jan-27, 3778.96 
924,Agri_JL,Feb-27, 3862.29 
924,Agri_JL,Mar-27, 3945.63 
1013,Agri_JL,Mar-26, 10278.60 
1013,Agri_JL,Apr-26, 10453.57 
1013,Agri_JL,May-26, 10628.55 
1013,Agri_JL,Jun-26, 10803.52 
1013,Agri_JL,Jul-26, 11022.24 
1013,Agri_JL,Aug-26, 11240.96 
1013,Agri_JL,Sep-26, 11459.68 
1013,Agri_JL,Oct-26, 11722.15 
1013,Agri_JL,Nov-26, 11984.61 
1013,Agri_JL,Dec-26, 12247.07 
1013,Agri_JL,Jan-27, 12465.79 
1013,Agri_JL,Feb-27, 12684.51 
1013,Agri_JL,Mar-27, 12903.23 
1044,Agri_JL,Mar-26, 7970.37 
1044,Agri_JL,Apr-26, 8101.64 
1044,Agri_JL,May-26, 8232.91 
1044,Agri_JL,Jun-26, 8364.17 
1044,Agri_JL,Jul-26, 8528.26 
1044,Agri_JL,Aug-26, 8692.34 
1044,Agri_JL,Sep-26, 8856.43 
1044,Agri_JL,Oct-26, 9053.33 
1044,Agri_JL,Nov-26, 9250.23 
1044,Agri_JL,Dec-26, 9447.13 
1044,Agri_JL,Jan-27, 9611.21 
1044,Agri_JL,Feb-27, 9775.30 
1044,Agri_JL,Mar-27, 9939.38 
1112,Agri_JL,Mar-26, 2587.59 
1112,Agri_JL,Apr-26, 2654.26 
1112,Agri_JL,May-26, 2720.93 
1112,Agri_JL,Jun-26, 2787.59 
1112,Agri_JL,Jul-26, 2870.93 
1112,Agri_JL,Aug-26, 2954.26 
1112,Agri_JL,Sep-26, 3037.59 
1112,Agri_JL,Oct-26, 3137.59 
1112,Agri_JL,Nov-26, 3237.59 
1112,Agri_JL,Dec-26, 3337.59 
1112,Agri_JL,Jan-27, 3420.93 
1112,Agri_JL,Feb-27, 3504.26 
1112,Agri_JL,Mar-27, 3587.59 
1152,Agri_JL,Mar-26, 3216.61 
1152,Agri_JL,Apr-26, 3283.27 
1152,Agri_JL,May-26, 3349.94 
1152,Agri_JL,Jun-26, 3416.61 
1152,Agri_JL,Jul-26, 3499.94 
1152,Agri_JL,Aug-26, 3583.27 
1152,Agri_JL,Sep-26, 3666.61 
1152,Agri_JL,Oct-26, 3766.61 
1152,Agri_JL,Nov-26, 3866.61 
1152,Agri_JL,Dec-26, 3966.61 
1152,Agri_JL,Jan-27, 4049.94 
1152,Agri_JL,Feb-27, 4133.27 
1152,Agri_JL,Mar-27, 4216.61 
1220,Agri_JL,Mar-26, 4947.34 
1220,Agri_JL,Apr-26, 5018.74 
1220,Agri_JL,May-26, 5090.13 
1220,Agri_JL,Jun-26, 5161.53 
1220,Agri_JL,Jul-26, 5250.77 
1220,Agri_JL,Aug-26, 5340.02 
1220,Agri_JL,Sep-26, 5429.26 
1220,Agri_JL,Oct-26, 5536.35 
1220,Agri_JL,Nov-26, 5643.45 
1220,Agri_JL,Dec-26, 5750.54 
1220,Agri_JL,Jan-27, 5839.78 
1220,Agri_JL,Feb-27, 5929.03 
1220,Agri_JL,Mar-27, 6018.27 
1221,Agri_JL,Mar-26, 3880.74 
1221,Agri_JL,Apr-26, 3940.74 
1221,Agri_JL,May-26, 4000.74 
1221,Agri_JL,Jun-26, 4060.74 
1221,Agri_JL,Jul-26, 4135.74 
1221,Agri_JL,Aug-26, 4210.74 
1221,Agri_JL,Sep-26, 4285.74 
1221,Agri_JL,Oct-26, 4375.74 
1221,Agri_JL,Nov-26, 4465.74 
1221,Agri_JL,Dec-26, 4555.74 
1221,Agri_JL,Jan-27, 4630.74 
1221,Agri_JL,Feb-27, 4705.74 
1221,Agri_JL,Mar-27, 4780.74 
1258,Agri_JL,Mar-26, 2578.59 
1258,Agri_JL,Apr-26, 2645.26 
1258,Agri_JL,May-26, 2711.92 
1258,Agri_JL,Jun-26, 2778.59 
1258,Agri_JL,Jul-26, 2861.92 
1258,Agri_JL,Aug-26, 2945.26 
1258,Agri_JL,Sep-26, 3028.59 
1258,Agri_JL,Oct-26, 3128.59 
1258,Agri_JL,Nov-26, 3228.59 
1258,Agri_JL,Dec-26, 3328.59 
1258,Agri_JL,Jan-27, 3411.92 
1258,Agri_JL,Feb-27, 3495.26 
1258,Agri_JL,Mar-27, 3578.59 
1314,Agri_JL,Mar-26, -   
1314,Agri_JL,Apr-26, -   
1314,Agri_JL,May-26, -   
1314,Agri_JL,Jun-26, -   
1314,Agri_JL,Jul-26, -   
1314,Agri_JL,Aug-26, -   
1314,Agri_JL,Sep-26, -   
1314,Agri_JL,Oct-26, -   
1314,Agri_JL,Nov-26, -   
1314,Agri_JL,Dec-26, -   
1314,Agri_JL,Jan-27, -   
1314,Agri_JL,Feb-27, -   
1314,Agri_JL,Mar-27, -   
1316,Agri_JL,Mar-26, 3190.35 
1316,Agri_JL,Apr-26, 3257.02 
1316,Agri_JL,May-26, 3323.68 
1316,Agri_JL,Jun-26, 3390.35 
1316,Agri_JL,Jul-26, 3473.68 
1316,Agri_JL,Aug-26, 3557.02 
1316,Agri_JL,Sep-26, 3640.35 
1316,Agri_JL,Oct-26, 3740.35 
1316,Agri_JL,Nov-26, 3840.35 
1316,Agri_JL,Dec-26, 3940.35 
1316,Agri_JL,Jan-27, 4023.68 
1316,Agri_JL,Feb-27, 4107.02 
1316,Agri_JL,Mar-27, 4190.35 
1317,Agri_JL,Mar-26, 1590.53 
1317,Agri_JL,Apr-26, 1609.69 
1317,Agri_JL,May-26, 1628.85 
1317,Agri_JL,Jun-26, 1648.01 
1317,Agri_JL,Jul-26, 1671.96 
1317,Agri_JL,Aug-26, 1695.91 
1317,Agri_JL,Sep-26, 1719.85 
1317,Agri_JL,Oct-26, 1748.59 
1317,Agri_JL,Nov-26, 1777.33 
1317,Agri_JL,Dec-26, 1806.07 
1317,Agri_JL,Jan-27, 1830.02 
1317,Agri_JL,Feb-27, 1853.97 
1317,Agri_JL,Mar-27, 1877.92 
1401,Agri_JL,Mar-26, 6364.47 
1401,Agri_JL,Apr-26, 6474.08 
1401,Agri_JL,May-26, 6583.68 
1401,Agri_JL,Jun-26, 6693.29 
1401,Agri_JL,Jul-26, 6830.29 
1401,Agri_JL,Aug-26, 6967.30 
1401,Agri_JL,Sep-26, 7104.30 
1401,Agri_JL,Oct-26, 7268.71 
1401,Agri_JL,Nov-26, 7433.12 
1401,Agri_JL,Dec-26, 7597.52 
1401,Agri_JL,Jan-27, 7734.53 
1401,Agri_JL,Feb-27, 7871.53 
1401,Agri_JL,Mar-27, 8008.54 
1560,Agri_JL,Mar-26, 6327.26 
1560,Agri_JL,Apr-26, 6446.22 
1560,Agri_JL,May-26, 6565.18 
1560,Agri_JL,Jun-26, 6684.13 
1560,Agri_JL,Jul-26, 6832.83 
1560,Agri_JL,Aug-26, 6981.53 
1560,Agri_JL,Sep-26, 7130.23 
1560,Agri_JL,Oct-26, 7308.67 
1560,Agri_JL,Nov-26, 7487.10 
1560,Agri_JL,Dec-26, 7665.54 
1560,Agri_JL,Jan-27, 7814.24 
1560,Agri_JL,Feb-27, 7962.94 
1560,Agri_JL,Mar-27, 8111.64 
1789,Agri_JL,Mar-26, 4438.76 
1789,Agri_JL,Apr-26, 4522.21 
1789,Agri_JL,May-26, 4605.67 
1789,Agri_JL,Jun-26, 4689.12 
1789,Agri_JL,Jul-26, 4793.44 
1789,Agri_JL,Aug-26, 4897.75 
1789,Agri_JL,Sep-26, 5002.07 
1789,Agri_JL,Oct-26, 5127.25 
1789,Agri_JL,Nov-26, 5252.43 
1789,Agri_JL,Dec-26, 5377.61 
1789,Agri_JL,Jan-27, 5481.92 
1789,Agri_JL,Feb-27, 5586.24 
1789,Agri_JL,Mar-27, 5690.56 
1830,Agri_JL,Mar-26, 4999.46 
1830,Agri_JL,Apr-26, 5093.45 
1830,Agri_JL,May-26, 5187.45 
1830,Agri_JL,Jun-26, 5281.44 
1830,Agri_JL,Jul-26, 5398.94 
1830,Agri_JL,Aug-26, 5516.43 
1830,Agri_JL,Sep-26, 5633.92 
1830,Agri_JL,Oct-26, 5774.91 
1830,Agri_JL,Nov-26, 5915.91 
1830,Agri_JL,Dec-26, 6056.90 
1830,Agri_JL,Jan-27, 6174.39 
1830,Agri_JL,Feb-27, 6291.88 
1830,Agri_JL,Mar-27, 6409.38 
1896,Agri_JL,Mar-26, 7375.40 
1896,Agri_JL,Apr-26, 7514.06 
1896,Agri_JL,May-26, 7652.72 
1896,Agri_JL,Jun-26, 7791.39 
1896,Agri_JL,Jul-26, 7964.72 
1896,Agri_JL,Aug-26, 8138.05 
1896,Agri_JL,Sep-26, 8311.38 
1896,Agri_JL,Oct-26, 8519.38 
1896,Agri_JL,Nov-26, 8727.37 
1896,Agri_JL,Dec-26, 8935.37 
1896,Agri_JL,Jan-27, 9108.70 
1896,Agri_JL,Feb-27, 9282.03 
1896,Agri_JL,Mar-27, 9455.36 
1919,Agri_JL,Mar-26, 5707.02 
1919,Agri_JL,Apr-26, 5814.31 
1919,Agri_JL,May-26, 5921.61 
1919,Agri_JL,Jun-26, 6028.91 
1919,Agri_JL,Jul-26, 6163.03 
1919,Agri_JL,Aug-26, 6297.15 
1919,Agri_JL,Sep-26, 6431.27 
1919,Agri_JL,Oct-26, 6592.22 
1919,Agri_JL,Nov-26, 6753.16 
1919,Agri_JL,Dec-26, 6914.11 
1919,Agri_JL,Jan-27, 7048.23 
1919,Agri_JL,Feb-27, 7182.35 
1919,Agri_JL,Mar-27, 7316.48 
1931,Agri_JL,Mar-26, 4943.87 
1931,Agri_JL,Apr-26, 5036.81 
1931,Agri_JL,May-26, 5129.76 
1931,Agri_JL,Jun-26, 5222.71 
1931,Agri_JL,Jul-26, 5338.90 
1931,Agri_JL,Aug-26, 5455.09 
1931,Agri_JL,Sep-26, 5571.27 
1931,Agri_JL,Oct-26, 5710.70 
1931,Agri_JL,Nov-26, 5850.12 
1931,Agri_JL,Dec-26, 5989.55 
1931,Agri_JL,Jan-27, 6105.73 
1931,Agri_JL,Feb-27, 6221.92 
1931,Agri_JL,Mar-27, 6338.11 
2098,Agri_JL,Mar-26, 5274.79 
2098,Agri_JL,Apr-26, 5373.96 
2098,Agri_JL,May-26, 5473.13 
2098,Agri_JL,Jun-26, 5572.30 
2098,Agri_JL,Jul-26, 5696.27 
2098,Agri_JL,Aug-26, 5820.23 
2098,Agri_JL,Sep-26, 5944.20 
2098,Agri_JL,Oct-26, 6092.95 
2098,Agri_JL,Nov-26, 6241.71 
2098,Agri_JL,Dec-26, 6390.47 
2098,Agri_JL,Jan-27, 6514.43 
2098,Agri_JL,Feb-27, 6638.39 
2098,Agri_JL,Mar-27, 6762.36 
2286,Agri_JL,Mar-26, 7171.19 
2286,Agri_JL,Apr-26, 7306.02 
2286,Agri_JL,May-26, 7440.84 
2286,Agri_JL,Jun-26, 7575.67 
2286,Agri_JL,Jul-26, 7744.20 
2286,Agri_JL,Aug-26, 7912.73 
2286,Agri_JL,Sep-26, 8081.26 
2286,Agri_JL,Oct-26, 8283.50 
2286,Agri_JL,Nov-26, 8485.74 
2286,Agri_JL,Dec-26, 8687.98 
2286,Agri_JL,Jan-27, 8856.51 
2286,Agri_JL,Feb-27, 9025.04 
2286,Agri_JL,Mar-27, 9193.57 
2287,Agri_JL,Mar-26, 4770.50 
2287,Agri_JL,Apr-26, 4860.19 
2287,Agri_JL,May-26, 4949.88 
2287,Agri_JL,Jun-26, 5039.57 
2287,Agri_JL,Jul-26, 5151.69 
2287,Agri_JL,Aug-26, 5263.80 
2287,Agri_JL,Sep-26, 5375.91 
2287,Agri_JL,Oct-26, 5510.45 
2287,Agri_JL,Nov-26, 5644.98 
2287,Agri_JL,Dec-26, 5779.52 
2287,Agri_JL,Jan-27, 5891.63 
2287,Agri_JL,Feb-27, 6003.74 
2287,Agri_JL,Mar-27, 6115.85 
2288,Agri_JL,Mar-26, 5365.88 
2288,Agri_JL,Apr-26, 5466.77 
2288,Agri_JL,May-26, 5567.65 
2288,Agri_JL,Jun-26, 5668.53 
2288,Agri_JL,Jul-26, 5794.64 
2288,Agri_JL,Aug-26, 5920.74 
2288,Agri_JL,Sep-26, 6046.85 
2288,Agri_JL,Oct-26, 6198.17 
2288,Agri_JL,Nov-26, 6349.50 
2288,Agri_JL,Dec-26, 6500.83 
2288,Agri_JL,Jan-27, 6626.93 
2288,Agri_JL,Feb-27, 6753.03 
2288,Agri_JL,Mar-27, 6879.14 
2461,Agri_JL,Mar-26, 6969.33 
2461,Agri_JL,Apr-26, 7135.99 
2461,Agri_JL,May-26, 7302.66 
2461,Agri_JL,Jun-26, 7469.33 
2461,Agri_JL,Jul-26, 7677.66 
2461,Agri_JL,Aug-26, 7885.99 
2461,Agri_JL,Sep-26, 8094.33 
2461,Agri_JL,Oct-26, 8344.33 
2461,Agri_JL,Nov-26, 8594.33 
2461,Agri_JL,Dec-26, 8844.33 
2461,Agri_JL,Jan-27, 9052.66 
2461,Agri_JL,Feb-27, 9260.99 
2461,Agri_JL,Mar-27, 9469.33 
2464,Agri_JL,Mar-26, 5433.58 
2464,Agri_JL,Apr-26, 5535.74 
2464,Agri_JL,May-26, 5637.90 
2464,Agri_JL,Jun-26, 5740.05 
2464,Agri_JL,Jul-26, 5867.75 
2464,Agri_JL,Aug-26, 5995.45 
2464,Agri_JL,Sep-26, 6123.14 
2464,Agri_JL,Oct-26, 6276.38 
2464,Agri_JL,Nov-26, 6429.61 
2464,Agri_JL,Dec-26, 6582.85 
2464,Agri_JL,Jan-27, 6710.54 
2464,Agri_JL,Feb-27, 6838.24 
2464,Agri_JL,Mar-27, 6965.93 
2574,Agri_JL,Mar-26, 10383.48 
2574,Agri_JL,Apr-26, 10550.15 
2574,Agri_JL,May-26, 10716.81 
2574,Agri_JL,Jun-26, 10883.48 
2574,Agri_JL,Jul-26, 11091.81 
2574,Agri_JL,Aug-26, 11300.15 
2574,Agri_JL,Sep-26, 11508.48 
2574,Agri_JL,Oct-26, 11758.48 
2574,Agri_JL,Nov-26, 12008.48 
2574,Agri_JL,Dec-26, 12258.48 
2574,Agri_JL,Jan-27, 12466.81 
2574,Agri_JL,Feb-27, 12675.15 
2574,Agri_JL,Mar-27, 12883.48 
2685,Agri_JL,Mar-26, 4567.38 
2685,Agri_JL,Apr-26, 4653.25 
2685,Agri_JL,May-26, 4739.12 
2685,Agri_JL,Jun-26, 4824.99 
2685,Agri_JL,Jul-26, 4932.33 
2685,Agri_JL,Aug-26, 5039.67 
